CustomerID,LocationType,CurrentISP,MonthlyInternetSpeed,MonthlyDataUsage,MonthlyBill,ContractType,ComplaintFrequency,CustomerTenure,ServiceOutages,StarlinkAwareness,Churn
CUST0096,Urban,Airtel,35.6,45.9,4467.0,Prepaid,3,70,5.0,No,No
CUST0097,Urban,SLT,28.7,79.1,4219.0,Prepaid,2,43,0.0,No,No
CUST0098,Urban,SLT,26.5,63.3,5320.0,Prepaid,2,29,2.3,Yes,No
CUST0099,Urban,Airtel,16.2,99.4,3417.0,Postpaid,3,3,3.4,Yes,No
CUST0100,Urban,Dialog,17.9,83.1,4149.0,Prepaid,2,58,6.4,Yes,No
CUST0101,Urban,Mobitel,36.9,38.6,2916.0,Postpaid,1,33,0.0,No,No
CUST0102,Rural,SLT,39.4,221.1,5952.0,Prepaid,0,75,3.4,Yes,No
CUST0103,Urban,Dialog,22.6,182.6,5484.0,Prepaid,0,45,3.1,No,No
CUST0104,Urban,SLT,25.5,81.0,3512.0,Postpaid,0,69,5.4,No,No
CUST0105,Rural,Airtel,16.0,133.6,3887.0,Prepaid,0,114,6.4,Yes,Yes
CUST0106,Urban,Dialog,36.7,140.9,4859.0,Postpaid,1,32,3.1,No,No
CUST0107,Urban,Airtel,31.7,179.6,3353.0,Prepaid,2,111,3.3,No,No
CUST0108,Rural,Mobitel,44.4,79.1,2843.0,Postpaid,0,82,3.0,Yes,No
CUST0109,Urban,Dialog,16.2,174.6,4374.0,Postpaid,3,111,3.8,No,No
CUST0110,Urban,Mobitel,21.2,92.6,3578.0,Postpaid,5,84,4.8,Yes,Yes
CUST0111,Urban,Dialog,27.3,53.2,3683.0,Prepaid,2,52,8.9,Yes,No
CUST0112,Urban,Dialog,31.5,156.2,2666.0,Prepaid,0,64,2.0,No,No
CUST0113,Rural,Dialog,22.8,184.5,1782.0,Prepaid,1,116,10.3,No,Yes
CUST0114,Rural,Airtel,16.3,249.4,3736.0,Postpaid,0,103,1.3,No,No
CUST0115,Rural,SLT,33.8,60.0,4405.0,Postpaid,0,113,7.9,No,No
CUST0116,Rural,Dialog,32.2,154.9,3274.0,Prepaid,1,40,3.6,No,No
CUST0117,Rural,SLT,15.8,99.5,4936.0,Prepaid,0,92,2.3,Yes,Yes
CUST0118,Urban,SLT,38.6,159.2,2796.0,Prepaid,0,13,9.0,Yes,No
CUST0119,Rural,Dialog,36.7,46.5,2445.0,Prepaid,1,90,5.2,Yes,No
CUST0120,Urban,Airtel,26.3,56.9,3433.0,Prepaid,0,80,5.1,No,No
CUST0121,Rural,Airtel,25.8,81.2,3417.0,Prepaid,1,89,4.2,No,No
CUST0122,Rural,SLT,30.5,123.9,4270.0,Postpaid,0,74,3.3,Yes,Yes
CUST0123,Urban,Mobitel,16.4,87.9,2725.0,Postpaid,0,29,4.5,Yes,No
CUST0124,Urban,SLT,25.3,153.0,4868.0,Postpaid,0,110,0.0,No,No
CUST0125,Urban,Mobitel,3.5,171.3,5467.0,Prepaid,2,63,0.0,Yes,No
CUST0126,Urban,SLT,33.8,150.0,3461.0,Postpaid,0,102,6.2,No,No
CUST0127,Rural,SLT,9.4,200.9,4750.0,Postpaid,1,84,8.5,No,No
CUST0128,Rural,Dialog,40.0,140.8,2444.0,Prepaid,0,118,9.1,No,No
CUST0129,Urban,Airtel,21.7,59.2,4575.0,Postpaid,1,26,2.1,Yes,No
CUST0130,Urban,SLT,22.9,188.2,4547.0,Prepaid,0,96,5.6,No,No
CUST0131,Urban,Dialog,18.7,89.7,4363.0,Prepaid,2,103,0.0,Yes,No
CUST0132,Urban,Dialog,22.1,165.5,3484.0,Prepaid,3,102,3.9,No,No
CUST0133,Urban,SLT,39.2,198.7,546.0,Prepaid,1,59,7.5,Yes,Yes
CUST0134,Urban,SLT,1.0,142.8,2858.0,Postpaid,1,49,4.9,No,Yes
CUST0135,Rural,Airtel,37.8,45.2,2874.0,Prepaid,0,53,4.0,No,No
CUST0136,Urban,Airtel,28.4,74.1,2522.0,Prepaid,1,88,5.0,Yes,Yes
CUST0137,Urban,Dialog,12.9,186.1,3622.0,Prepaid,1,31,8.8,No,No
CUST0138,Rural,Airtel,14.2,111.5,3081.0,Postpaid,1,104,4.3,No,No
CUST0139,Urban,Dialog,41.8,124.0,2675.0,Prepaid,0,12,5.2,Yes,No
CUST0140,Rural,Airtel,15.5,157.9,2441.0,Postpaid,2,58,9.6,Yes,No
CUST0141,Rural,Airtel,13.5,154.8,2784.0,Postpaid,0,36,4.3,No,No
CUST0142,Urban,SLT,36.4,133.9,4621.0,Prepaid,1,10,0.1,No,No
CUST0143,Urban,Airtel,28.4,109.6,2839.0,Prepaid,2,6,9.1,No,No
CUST0144,Urban,Dialog,15.6,104.4,2985.0,Postpaid,0,7,8.0,No,No
CUST0145,Urban,SLT,27.2,162.9,3043.0,Prepaid,0,117,0.0,No,No
CUST0146,Urban,Airtel,14.7,147.7,3839.0,Prepaid,0,31,4.6,No,Yes
CUST0147,Rural,SLT,36.0,107.1,3956.0,Postpaid,3,91,4.9,No,Yes
CUST0148,Urban,Dialog,35.6,174.1,500.0,Prepaid,0,72,9.1,Yes,Yes
CUST0149,Urban,SLT,30.3,113.5,4522.0,Prepaid,1,3,5.0,No,Yes
CUST0150,Urban,Airtel,28.6,77.4,4936.0,Prepaid,1,104,5.5,Yes,No
CUST0151,Rural,Dialog,42.6,82.1,2450.0,Prepaid,2,47,5.6,Yes,No
CUST0152,Urban,Dialog,25.0,71.1,2528.0,Postpaid,0,85,3.6,No,No
CUST0153,Urban,Airtel,13.2,106.4,3050.0,Postpaid,1,1,8.9,No,Yes
CUST0154,Urban,Airtel,29.5,181.7,2744.0,Postpaid,2,45,2.6,Yes,No
CUST0155,Rural,Dialog,45.9,79.7,3724.0,Postpaid,1,54,3.5,Yes,No
CUST0156,Urban,Dialog,14.9,129.4,1553.0,Prepaid,0,50,5.0,No,No
CUST0157,Rural,Dialog,21.4,87.2,2382.0,Prepaid,0,79,1.0,No,No
CUST0158,Rural,Dialog,29.2,107.0,5039.0,Prepaid,2,7,10.3,No,Yes
CUST0159,Urban,SLT,24.5,44.5,2572.0,Prepaid,0,63,5.0,No,No
CUST0160,Rural,Airtel,15.2,109.0,4743.0,Postpaid,3,15,7.5,Yes,Yes
CUST0161,Urban,SLT,36.2,110.3,3855.0,Postpaid,2,89,2.1,Yes,Yes
CUST0162,Rural,SLT,48.2,147.0,1691.0,Prepaid,1,67,7.1,Yes,No
CUST0163,Rural,Dialog,27.0,131.2,4135.0,Prepaid,1,30,7.4,Yes,No
CUST0164,Urban,Airtel,16.0,60.1,3382.0,Prepaid,0,78,7.8,No,Yes
CUST0165,Urban,SLT,9.5,174.2,3045.0,Prepaid,3,116,10.7,Yes,Yes
CUST0166,Rural,Mobitel,27.6,130.5,3745.0,Prepaid,1,68,3.3,Yes,No
CUST0167,Urban,SLT,36.0,129.9,3975.0,Postpaid,0,36,4.4,No,No
CUST0168,Urban,Dialog,29.8,119.5,4208.0,Postpaid,1,67,2.5,No,No
CUST0169,Urban,SLT,25.0,94.1,4678.0,Postpaid,1,5,4.7,No,No
CUST0170,Urban,Dialog,19.1,130.9,3908.0,Prepaid,2,25,7.0,No,No
CUST0171,Rural,SLT,14.1,143.8,2124.0,Prepaid,4,95,6.8,Yes,Yes
CUST0172,Urban,Dialog,33.3,32.7,3026.0,Postpaid,0,11,9.9,No,No
CUST0173,Urban,Dialog,34.1,93.1,6443.0,Postpaid,0,72,6.5,Yes,No
CUST0174,Urban,Airtel,9.5,107.3,4224.0,Postpaid,0,90,5.0,No,No
CUST0175,Rural,Dialog,40.9,132.8,5869.0,Postpaid,0,66,1.7,No,No
CUST0176,Urban,Airtel,30.7,179.7,4895.0,Postpaid,1,28,7.6,No,No
CUST0177,Rural,Dialog,39.0,81.4,3742.0,Postpaid,0,112,4.5,No,No
CUST0178,Urban,SLT,11.6,95.1,3801.0,Prepaid,0,60,7.7,No,No
CUST0179,Rural,SLT,11.3,94.4,3463.0,Postpaid,2,10,3.7,No,Yes
CUST0180,Urban,SLT,23.5,79.9,1762.0,Prepaid,1,50,8.6,Yes,No
CUST0181,Urban,Dialog,30.0,102.6,3518.0,Prepaid,2,39,6.2,No,No
CUST0182,Urban,Dialog,43.0,158.5,4711.0,Postpaid,2,37,8.0,Yes,No
CUST0183,Rural,Dialog,32.1,67.3,2900.0,Prepaid,1,63,6.2,No,No
CUST0184,Rural,Dialog,22.6,141.4,3912.0,Prepaid,0,61,2.2,Yes,No
CUST0185,Urban,SLT,14.7,34.9,4352.0,Prepaid,0,103,3.9,Yes,No
CUST0186,Rural,Mobitel,37.3,91.9,2590.0,Prepaid,0,85,1.2,No,No
CUST0187,Rural,Airtel,15.4,103.5,3049.0,Prepaid,0,92,5.6,Yes,No
CUST0188,Urban,Airtel,41.3,203.7,2482.0,Prepaid,1,38,0.6,No,Yes
CUST0189,Urban,Airtel,22.2,106.3,2678.0,Prepaid,1,33,5.9,Yes,No
CUST0190,Urban,SLT,40.9,9.9,2212.0,Prepaid,6,75,0.0,No,No
CUST0191,Urban,Dialog,31.8,20.1,2600.0,Postpaid,0,45,7.4,No,No
CUST0192,Rural,Mobitel,23.6,121.7,4919.0,Prepaid,1,44,1.7,No,No
CUST0193,Rural,SLT,19.8,150.7,2585.0,Prepaid,0,1,2.1,Yes,Yes
CUST0194,Rural,SLT,21.6,138.8,3626.0,Postpaid,0,53,9.1,Yes,Yes
CUST0195,Urban,Dialog,29.3,128.4,2997.0,Postpaid,2,47,6.0,No,No
CUST0196,Urban,SLT,25.8,178.1,4679.0,Postpaid,5,33,7.5,Yes,No
CUST0197,Rural,SLT,19.1,93.0,4811.0,Prepaid,0,67,2.0,Yes,Yes
CUST0198,Rural,Airtel,23.3,164.7,4364.0,Postpaid,3,90,7.9,No,Yes
CUST0199,Rural,SLT,25.8,38.4,3806.0,Postpaid,0,15,4.6,No,No
CUST0200,Rural,Dialog,3.7,74.8,3269.0,Postpaid,1,105,5.4,Yes,No
CUST0201,Rural,Mobitel,29.6,29.6,2308.0,Postpaid,0,14,9.5,Yes,Yes
CUST0202,Urban,Dialog,15.2,106.3,5444.0,Postpaid,0,23,1.5,Yes,No
CUST0203,Urban,SLT,13.5,117.7,2740.0,Postpaid,0,54,7.7,No,No
CUST0204,Rural,Dialog,8.1,125.7,4164.0,Postpaid,1,8,6.2,Yes,Yes
CUST0205,Rural,Airtel,7.1,123.1,4560.0,Prepaid,0,54,4.4,No,No
CUST0206,Urban,Mobitel,11.4,73.6,2945.0,Postpaid,1,36,1.7,Yes,No
CUST0207,Urban,Dialog,17.9,110.5,4538.0,Postpaid,0,84,4.3,Yes,Yes
CUST0208,Rural,Airtel,44.5,45.1,4264.0,Prepaid,0,52,2.5,No,Yes
CUST0209,Urban,Dialog,19.7,188.2,5228.0,Postpaid,0,6,8.6,Yes,No
CUST0210,Urban,Mobitel,26.8,104.8,3031.0,Prepaid,0,97,5.3,No,No
CUST0211,Urban,Airtel,29.0,95.6,2214.0,Prepaid,0,28,3.0,No,No
CUST0212,Rural,Airtel,26.3,199.4,2995.0,Postpaid,1,50,0.7,Yes,Yes
CUST0213,Rural,Dialog,24.2,57.9,3709.0,Prepaid,0,38,3.6,No,No
CUST0214,Urban,Mobitel,13.0,63.7,3558.0,Prepaid,1,30,8.7,Yes,Yes
CUST0215,Rural,Airtel,39.5,65.2,3107.0,Prepaid,2,110,5.3,Yes,No
CUST0216,Urban,Dialog,43.1,116.6,1591.0,Prepaid,1,107,4.5,Yes,No
CUST0217,Urban,Airtel,8.2,141.6,3970.0,Prepaid,0,81,10.1,No,No
CUST0218,Rural,Dialog,14.8,157.0,5472.0,Prepaid,1,73,3.8,Yes,Yes
CUST0219,Rural,Airtel,22.2,248.6,3964.0,Prepaid,2,92,2.6,No,Yes
CUST0220,Rural,Dialog,15.4,7.5,4109.0,Postpaid,1,54,6.2,No,Yes
CUST0221,Rural,Airtel,30.1,150.4,4072.0,Postpaid,3,71,6.3,Yes,No
CUST0222,Urban,SLT,17.7,92.1,3897.0,Prepaid,1,46,3.2,No,Yes
CUST0223,Urban,Dialog,46.7,90.7,4432.0,Postpaid,0,28,2.6,No,No
CUST0224,Urban,Dialog,36.9,89.0,3895.0,Prepaid,1,17,9.3,No,No
CUST0225,Urban,Dialog,27.1,74.6,3187.0,Prepaid,1,104,3.7,No,No
CUST0226,Urban,SLT,35.3,204.2,2704.0,Prepaid,1,48,0.6,No,No
CUST0227,Rural,Dialog,36.1,162.1,3251.0,Postpaid,0,44,5.6,Yes,No
CUST0228,Urban,SLT,19.4,121.2,3814.0,Postpaid,0,108,7.7,No,No
CUST0229,Rural,Dialog,16.8,187.6,3184.0,Prepaid,1,60,4.4,No,No
CUST0230,Rural,Dialog,25.8,44.4,3814.0,Prepaid,1,60,6.6,No,No
CUST0231,Rural,Airtel,33.6,53.5,3939.0,Prepaid,0,5,1.9,No,No
CUST0232,Urban,Dialog,26.4,11.1,4333.0,Postpaid,0,69,6.9,No,No
CUST0233,Urban,Mobitel,9.2,85.0,4783.0,Postpaid,1,78,2.1,No,No
CUST0234,Urban,Airtel,17.0,128.1,3578.0,Prepaid,1,70,5.9,No,No
CUST0235,Urban,SLT,24.3,125.1,2192.0,Postpaid,2,7,7.3,Yes,No
CUST0236,Rural,SLT,24.2,127.5,3155.0,Prepaid,1,119,5.3,No,No
CUST0237,Urban,Airtel,44.7,49.4,3544.0,Postpaid,0,53,1.3,Yes,Yes
CUST0238,Urban,Dialog,11.1,160.2,1664.0,Postpaid,0,17,1.4,No,Yes
CUST0239,Rural,Dialog,30.1,132.0,4889.0,Prepaid,0,59,9.8,Yes,No
CUST0240,Urban,Dialog,39.9,156.7,3642.0,Postpaid,1,9,2.7,Yes,No
CUST0241,Rural,Airtel,47.7,25.4,3881.0,Postpaid,0,95,7.3,Yes,Yes
CUST0242,Rural,Dialog,21.0,135.6,4866.0,Prepaid,0,22,5.4,No,No
CUST0243,Rural,SLT,29.9,60.6,2870.0,Prepaid,0,45,2.0,Yes,No
CUST0244,Urban,Mobitel,30.7,100.1,4074.0,Postpaid,0,73,3.4,No,No
CUST0245,Urban,Airtel,27.0,146.7,3390.0,Prepaid,1,59,10.1,Yes,No
CUST0246,Rural,SLT,24.0,124.6,3316.0,Prepaid,1,80,15.5,No,No
CUST0247,Urban,Dialog,29.4,77.4,2728.0,Prepaid,2,100,4.0,Yes,No
CUST0248,Rural,Airtel,1.0,120.3,5166.0,Postpaid,2,98,3.8,Yes,Yes
CUST0249,Rural,SLT,31.8,43.4,3124.0,Postpaid,2,109,0.1,No,No
CUST0250,Rural,Dialog,26.3,177.5,4199.0,Postpaid,2,13,0.1,No,No
CUST0251,Urban,Dialog,22.8,109.7,1625.0,Postpaid,3,83,2.4,Yes,No
CUST0252,Urban,Mobitel,45.5,175.9,4680.0,Prepaid,1,12,3.7,No,No
CUST0253,Rural,SLT,18.3,93.7,4552.0,Postpaid,1,36,4.9,No,No
CUST0254,Urban,Airtel,21.0,93.8,3597.0,Postpaid,0,10,7.1,Yes,Yes
CUST0255,Urban,Airtel,44.9,81.8,3273.0,Prepaid,1,16,5.7,Yes,No
CUST0256,Urban,SLT,16.7,163.8,3900.0,Prepaid,2,92,7.1,No,No
CUST0257,Rural,SLT,19.5,84.5,5789.0,Prepaid,0,19,3.2,Yes,No
CUST0258,Rural,SLT,23.5,152.2,1737.0,Postpaid,1,104,4.8,No,No
CUST0259,Urban,Dialog,33.4,100.9,4282.0,Postpaid,2,6,3.9,No,No
CUST0260,Urban,SLT,27.1,21.2,2588.0,Postpaid,0,4,1.2,No,No
CUST0261,Rural,Airtel,12.1,91.5,3480.0,Postpaid,1,30,0.0,No,No
CUST0262,Rural,SLT,19.7,61.0,3252.0,Prepaid,0,103,3.0,No,No
CUST0263,Urban,Airtel,18.9,121.7,3072.0,Postpaid,0,95,0.0,Yes,No
CUST0264,Urban,SLT,24.2,60.5,3490.0,Postpaid,2,46,1.6,No,Yes
CUST0265,Rural,SLT,29.3,166.3,2366.0,Prepaid,2,27,6.6,No,No
CUST0266,Rural,SLT,29.2,115.4,4529.0,Postpaid,3,45,5.5,Yes,No
CUST0267,Rural,SLT,7.2,111.1,1706.0,Prepaid,3,85,5.1,No,Yes
CUST0268,Rural,Airtel,35.6,152.8,4040.0,Postpaid,0,37,8.5,Yes,No
CUST0269,Urban,Dialog,27.5,168.2,3173.0,Postpaid,1,9,2.8,Yes,Yes
CUST0270,Urban,SLT,38.8,119.0,2329.0,Postpaid,1,61,7.0,No,No
CUST0271,Rural,Dialog,29.4,81.4,3702.0,Postpaid,1,35,2.6,No,No
CUST0272,Rural,Dialog,36.0,31.3,1943.0,Prepaid,2,106,5.8,No,No
CUST0273,Rural,SLT,29.7,85.7,3540.0,Postpaid,1,47,5.5,Yes,Yes
CUST0274,Rural,SLT,38.5,89.1,2077.0,Prepaid,0,116,5.6,No,No
CUST0275,Urban,Mobitel,30.2,125.4,3961.0,Postpaid,0,21,3.8,Yes,No
CUST0276,Urban,SLT,24.0,102.7,2576.0,Postpaid,0,17,6.0,No,No
CUST0277,Rural,Airtel,47.7,154.4,3049.0,Postpaid,1,55,6.2,No,Yes
CUST0278,Rural,SLT,33.9,89.4,3794.0,Prepaid,1,88,0.7,No,No
CUST0279,Rural,SLT,30.7,117.1,2727.0,Postpaid,1,95,7.5,No,No
CUST0280,Rural,Dialog,12.2,179.2,3442.0,Postpaid,2,6,1.3,No,Yes
CUST0281,Rural,Dialog,12.1,137.1,1986.0,Postpaid,0,35,2.4,No,Yes
CUST0282,Urban,Dialog,27.9,117.0,4131.0,Prepaid,1,50,5.7,No,No
CUST0283,Urban,SLT,26.5,89.9,5265.0,Prepaid,0,37,6.8,No,No
CUST0284,Urban,Dialog,18.9,88.3,6292.0,Prepaid,1,13,5.7,No,No
CUST0285,Urban,Dialog,26.4,77.5,3591.0,Postpaid,1,25,6.0,No,No
CUST0286,Urban,Dialog,40.9,92.9,4288.0,Postpaid,0,96,1.6,No,No
CUST0287,Urban,Mobitel,32.0,157.8,1719.0,Postpaid,0,1,3.4,Yes,No
CUST0288,Urban,Dialog,13.6,108.9,5003.0,Prepaid,0,49,0.0,Yes,Yes
CUST0289,Urban,SLT,23.9,52.5,4276.0,Prepaid,2,35,2.2,No,No
CUST0290,Urban,Dialog,17.0,208.4,3016.0,Postpaid,2,83,1.0,No,No
CUST0291,Urban,SLT,21.1,136.0,4737.0,Postpaid,1,53,5.0,No,No
CUST0292,Urban,Dialog,20.9,49.7,3246.0,Postpaid,1,52,12.1,Yes,No
CUST0293,Rural,Dialog,20.2,97.9,3042.0,Postpaid,0,54,7.3,Yes,No
